epoch,train_loss,val_loss,val_2s_loss,val_3s_loss
1,157.39237227303641,298.6120061016083,4.658666766484578,293.9533393351237
2,137.4725199154445,301.6693405977885,1.950000031789144,299.71934056599935
3,135.10435571943012,282.45600473483404,1.7946666916211447,280.6613380432129
4,135.12507296562194,289.5740047423045,1.5260000324249268,288.04800470987954
5,130.35949854169573,277.8286713924011,0.6973333491881688,277.1313380432129
6,132.18309266226632,280.9073376087348,0.6833333464463552,280.2240042622884
7,131.01120774132866,271.13400285919505,0.6206666775544485,270.5133361816406
8,125.60337454659599,264.41267180283864,1.607333362897237,262.8053384399414
9,123.05185216903686,259.2626712787151,0.7006666807333628,258.5620045979818
10,117.78424083709717,251.46533776621024,0.4886666744947433,250.9766710917155
11,118.00672857284546,256.27533861517907,0.950000022649765,255.3253385925293
12,115.28696603502546,268.61267126639683,0.7633333452542623,267.8493379211426
13,114.98939824240549,240.88933589577675,0.5166666758060455,240.3726692199707
14,115.1795721762521,256.7686716365814,0.7033333492279052,256.06533828735354
15,112.25029400689262,266.61133929063874,0.3613333397110303,266.25000595092774
16,121.38091070992606,251.0053348795573,6.354000091552734,244.65133478800456
17,115.4659440939767,243.27733681837717,2.9560000467300416,240.32133677164714
18,112.56589524405344,268.8546696563562,0.7993333526452382,268.05533630371093
19,110.82148136956351,238.74133775889874,0.5106666773557663,238.23067108154297
20,110.16240318843296,257.52267078995703,0.6586666802565256,256.86400410970055
21,114.11942935126169,238.52466893633206,0.7626666780312856,237.76200225830078
22,114.86230383736746,239.4513378183047,1.5706666858990987,237.8806711324056
23,108.53411143984114,237.01533707936605,0.7833333460489909,236.23200373331704
24,111.04525500161307,248.82800489823023,0.7813333487510681,248.04667154947916
25,110.75790589196342,249.30200318257013,1.6486666957537333,247.6533364868164
26,110.65687031064715,239.22067076524098,0.5053333425521851,238.7153374226888
27,109.93529442378453,235.16533728559813,1.2866666821638744,233.87867060343424
28,110.85444708142961,236.24333660364152,0.8133333484331767,235.43000325520833
29,108.7097741154262,301.9786719125509,0.43200000703334807,301.5466719055176
30,109.15043370383127,253.10200603723527,2.115333368778229,250.98667266845703
